name,currency,sale_price,availability_status,product_category,url,author
Try Not to Laugh Challenge,USD,7.99,Available to ship in 1-2 days.,"Sách > Th? công, Nhà c?a  > Làm v??n, N?i th?t ",https://www.amazon.com/Laugh-Challenge-Easter-Joke-Book/dp/1986554902/ref=zg_bs_Sách_17/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Mattie Bartlett
God Gave Us Easter,USD,6.82,In Stock.,Sách > Sách thi?u nhi > Ti?u thuy?t vi?n t??ng,https://www.amazon.com/God-Gave-Us-Easter/dp/0307730727/ref=zg_bs_Sách_3/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Kadeen H.
Second Grade Big Fun Workbook,USD,9.69,In Stock.,"Sách > Sách thi?u nhi > Tr??ng thành, L?i s?ng",https://www.amazon.com/Second-Workbook-HighlightsTM-Activity-WorkSách/dp/1684371589/ref=zg_bs_Sách_14/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Floyd Brown
Adult Coloring Book ,USD,6.4,Available to ship in 1-2 days.,"Sách > Ngh? thu?t, Nhi?p ?nh  > L?ch s?, Phê bình v?n h?c  ",https://www.amazon.com/Adult-Coloring-Book-Relieving-Mandalas/dp/1979601739/ref=zg_bs_Sách_30/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
The Big Book of Silly Jokes for Kids,USD,5.99,"In stock on April 13, 2020.","Sách > Sách thi?u nhi > Giáo d?c, Sách tham kh?o ",https://www.amazon.com/Big-Book-Silly-Jokes-Kids/dp/1641526378/ref=zg_bs_Sách_11/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Floyd Brown
A Magical Sight Words and Phonics Activity Workbook,USD,6.99,Available to ship in 1-2 days.,Sách > Sách thi?u nhi > Ti?u thuy?t vi?n t??ng,https://www.amazon.com/Learn-Read-Beginning-Preschool-Kindergarten/dp/1948209543/ref=zg_bs_Sách_32/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Jessica Morgan
Perfectly Logical,USD,8.13,In Stock.,"Sách > Sách thi?u nhi > Hành ??ng, Th? công, Trò ch?i ",https://www.amazon.com/Perfectly-Logical-Challenging-Teasers-Puzzles/dp/1641525312/ref=zg_bs_Sách_23/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
Number Tracing Book,USD,2.79,Available to ship in 1-2 days.,"Sách > Sách thi?u nhi > Giáo d?c, Sách tham kh?o ",https://www.amazon.com/Number-Tracing-Book-Preschoolers-Kids/dp/1948209152/ref=zg_bs_Sách_47/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Jessica Morgan
My Kindergarten Workbook,USD,7.93,"In stock on April 19, 2020.","Sách > Sách thi?u nhi > Tr??ng thành, L?i s?ng",https://www.amazon.com/My-Kindergarten-Workbook-Activities-Support/dp/1641524987/ref=zg_bs_Sách_21/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Jessica Morgan
My First Learn to Write Workbook,USD,5.65,Available to ship in 1-2 days.,"Sách > Sách thi?u nhi > Giáo d?c, Sách tham kh?o ",https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_Sách_6/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
A Novel Hardcover,USD,10.98,,Sách > Ti?u thuy?t vi?n t??ng > Vi?n t??ng,https://www.amazon.com/Valentine-Novel-Elizabeth-Wetmore/dp/0062913263/ref=zg_bs_Sách_42/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YRhttps://www.amazon.com/Valentine-Novel-Elizabeth-Wetmore/dp/0062913263/ref=zg_bs_Sách_42/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Michelle B. R.
School Zone,USD,9.97,"In stock on April 13, 2020.","Sách > Sách thi?u nhi > Tr??ng thành, L?i s?ng",https://www.amazon.com/School-Zone-Preschool-Pre-Writing-Pre-Reading/dp/0887431453/ref=zg_bs_Sách_16/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
My First Toddler Coloring Book,USD,4.37,In Stock.,"Sách > Sách thi?u nhi > Hành ??ng, Th? công, Trò ch?i ",https://www.amazon.com/My-First-Toddler-Coloring-Book/dp/1939754984/ref=zg_bs_Sách_22/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Michelle B. R.
First Grade Big Fun Workbook,USD,9.38,In Stock.,"Sách > Sách thi?u nhi > Tr??ng thành, L?i s?ng",https://www.amazon.com/First-Grade-Activity-HighlightsTM-WorkSách/dp/1629798649/ref=zg_bs_Sách_41/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
Untamed Hardcover,USD,16.8,In Stock.,"Sách > ??o thiên chúa, Kinh thánh > ??i s?ng con chiên",https://www.amazon.com/Untamed-Glennon-Doyle-Melton/dp/1984801252/ref=zg_bs_Sách_5/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Mattie Bartlett
Magnolia Table Vol 2 Hardcover,USD,21,"This title will be released on April 7, 2020.","Sách > ?m th?c  > Trong n??c, Qu?c t? ",https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/0062820184/ref=zg_bs_Sách_20/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Michelle B. R.
How to Draw 101 Animals Paperback,USD,4.99,Available to ship in 1-2 days.,"Sách > Sách thi?u nhi > Ngh? thu?t, Âm nh?c, Nhi?p ?nh ",https://www.amazon.com/How-Draw-101-Animals-Green/dp/1842297406/ref=zg_bs_Sách_18/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Jessica Morgan
Calm Down,USD,2.25,Available to ship in 1-2 days.,"Sách > Th? công, Nhà c?a  > S? thích, ?? ch?i",https://www.amazon.com/Calm-Down-Irreverent-Adult-Coloring/dp/1522864741/ref=zg_bs_Sách_28/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Mattie Bartlett
Scratch and Sparkle Unicorns Activity Book,USD,3.23,In Stock.,"Sách > Sách thi?u nhi > Ngh? thu?t, Âm nh?c, Nhi?p ?nh ",https://www.amazon.com/Scratch-Sparkle-Unicorns-Activity-Book/dp/1788432444/ref=zg_bs_Sách_48/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Floyd Brown
Front Row at the Trump Show Hardcover,USD,16.94,Temporarily out of stock. Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item. Details,"Sách > Chính tr?, Khoa h?c, Xã h?i  > Chính tr? , Chính ph?",https://www.amazon.com/Front-Row-at-Trump-Show/dp/1524745626/ref=zg_bs_Sách_24/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Tanya Lorraine
How to Catch a Mermaid Hardcover,USD,5.99,In Stock.,Sách > Sách thi?u nhi > Ti?u thuy?t vi?n t??ng,https://www.amazon.com/How-Catch-Mermaid-Adam-Wallace/dp/149266247X/ref=zg_bs_Sách_10/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Floyd Brown
5000 Awesome Facts About Everything,USD,11.98,In Stock.,"Sách > Sách thi?u nhi > Giáo d?c, Sách tham kh?o ",https://www.amazon.com/Awesome-Facts-Everything-National-Geographic/dp/1426310498/ref=zg_bs_Sách_34/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Kadeen H.
Scissor Skills Preschool Workbook for Kids,USD,1.99,Available to ship in 1-2 days.,"Sách > Sách thi?u nhi > Hành ??ng, Th? công, Trò ch?i ",https://www.amazon.com/Scissor-Skills-Preschool-Workbook-Kids/dp/1948209608/ref=zg_bs_Sách_43/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Tanya Lorraine
How to Catch a Unicorn Hardcover,USD,5.49,In Stock.,Sách > Sách thi?u nhi > ??ng v?t,https://www.amazon.com/How-Catch-Unicorn-Adam-Wallace/dp/1492669733/ref=zg_bs_Sách_19/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Tanya Lorraine
